                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.064,                 3.4171,                  4.794,                  1.964,                 0.5722,                    0.5,                0.08313,                0.07465,                 0.5722,                    0.5,                0.08292,                0.08292,                 3.4503,                 6.1956,                  6.574,                  2.947,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.4749,                 3.9602,                 16.451,                   1.94,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00028283,             0.00028283,             0.00028283
                      3,                 3.0704,                 3.8415,                  4.912,                 2.4619,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004317,              0.0004317,              0.0004317
                      4,                 3.0355,                 3.6654,                 3.8032,                 2.4151,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00057998,             0.00057998,             0.00057998
                      5,                 2.9256,                  3.183,                 3.4015,                 2.3523,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00072767,             0.00072767,             0.00072767
                      6,                 3.1119,                 3.3508,                 2.9459,                 2.2341,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00087476,             0.00087476,             0.00087476
                      7,                 2.8601,                 3.1743,                 2.9195,                 2.1519,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010213,              0.0010213,              0.0010213
                      8,                 2.8748,                 2.6506,                 2.8393,                 2.1003,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011672,              0.0011672,              0.0011672
                      9,                 2.7858,                 3.0371,                 2.5718,                 2.0398,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0013125,              0.0013125,              0.0013125
                     10,                 2.7309,                 2.6704,                  2.501,                 2.1561,                0.00067,                0.06667,                0.00034,                  9e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0014572,              0.0014572,              0.0014572
